slug,market,community_name,city,state,starting_rent,beds_min,beds_max,feature_count,features,zip_candidates,page_location,fetch_status
charlottes-ridge,atlanta,Charlotte's Ridge,Holly Springs,GA,,4,5,7,Granite countertops; Luxury vinyl plank; Pet-friendly; Professional lawn care; Modern appliances; 2-car garage; Fenced yards or patios,30350,,ok
grove-at-rosebud,atlanta,Grove at Rosebud,Loganville,GA,2394,3,3,8,Attached 2-car garage; Granite countertops; Luxury vinyl plank; Modern appliances; Walk-in closets; Patio; Kitchen island; Privacy screen,30052;30350,,ok
hanley-mill,atlanta,Hanley Mill,Covington,GA,2144,,,6,Fenced yard; Luxury vinyl plank; Modern appliances; Garage; Green spaces; Kitchen island,30016;30350,"Covington, GA",ok
moss-pointe,atlanta,Moss Pointe,Canton,GA,2669,4,4,7,Granite countertops; Luxury vinyl plank; W/D hookups; Modern appliances; Patio; 2-car garage; Recessed lighting,30114;30350,"Canton, GA",ok
reynolds-bend,atlanta,Reynolds Bend,Bethlehem,GA,2435,4,5,10,Fenced yard; Granite countertops; Luxury vinyl plank; Playground; Community pool; Dog park; Cabana; Modern kitchen; Pickleball court; Refrigerator with ice maker,30620,"Bethlehem, GA",ok
the-park-at-westfield-village,atlanta,The Park at Westfield Village,Covington,GA,2120,3,5,7,Granite countertops; Luxury vinyl plank; Modern appliances; Playground; Patio; Community pool; Kitchen island,30016,"Covington, GA",ok
the-reserve,atlanta,The Reserve,Dallas,GA,2495,4,4,8,Granite countertops; Luxury vinyl plank; W/D hookups; Modern appliances; Patio; 2-car garage; Recessed lighting; Home security system,30157;30350,"Dallas, GA",ok
arborwood,carolinas,Arborwood,Monroe,NC,2014,2,4,6,Fenced yard; Granite countertops; Luxury vinyl plank; Professional lawn care; Modern appliances; Primary bedroom on main,28110;28269,,ok
briers-edge-townes,carolinas,Briers Edge Townes,Charlotte,NC,2135,3,3,7,Fenced yard; Granite countertops; Luxury vinyl plank; Professional lawn care; Modern appliances; High-speed internet; Washer/dryer,28262;28269,,ok
cameron-commons,carolinas,Cameron Commons,Charlotte,NC,2389,4,5,9,Luxury vinyl plank; W/D hookups; Modern appliances; Walk-in closets; Recessed LED lighting; Patio; Kitchen island; 2-car garage; Bonus room (in some floor plans),28262;28269,"Charlotte, NC",ok
cherry-creek,carolinas,Cherry Creek,Haw River,NC,2533,4,5,8,Attached 2-car garage; Luxury vinyl plank; Modern appliances; Quartz countertops; Walk-in closets; Patio; Cabana; Splash pad,27258;28269,"Haw River, NC",ok
norwood-walk,carolinas,Norwood Walk,Troutman,NC,2285,3,5,8,Fenced yard; Modern appliances; Community playground; Washer/dryer; Cabana; Private driveway and patio; Community heated pool; Wood-inspired flooring,28166;28269,"Troutman, NC",ok
shannon-woods,carolinas,Shannon Woods,Maiden,NC,2531,4,5,9,Granite countertops; Luxury vinyl plank; Modern appliances; Patio; Fitness center; Clubhouse; Park; High ceilings; Pool,28269;28650,"Maiden, NC",ok
smith-farms,carolinas,Smith Farms,Charlotte,NC,2425,4,4,6,Luxury vinyl plank; Modern appliances; Walk-in closets; Kitchen island; 2-car garage; Lawn care,28269,,ok
